symbol,display_name,volume_24h,candles_count,trades,total_pnl,return_pct,profit_factor,win_rate_pct,expectancy,max_drawdown_pct,robustness_score
CAKE,CAKE,145939.90409,5001,92,-121.7032028179749,-12.170320281797519,0.9195467077214321,42.391304347826086,-1.3228609001953793,-29.07088377706672,-27.223877900763043
GOAT,GOAT,116661.045148,5001,79,-131.38260708538377,-13.138260708538319,0.9038540813865835,41.77215189873418,-1.6630709757643516,-34.49827974030017,-32.030838032538384
BNB,BNB,8063826.349670003,5000,79,-131.39952895140178,-13.139952895140228,0.8740976324696175,36.708860759493675,-1.6632851766000225,-33.72735907407351,-31.64728155809685
POPCAT,POPCAT,570140.434509,5001,105,-138.23548908238882,-13.823548908238802,0.935327180618537,45.714285714285715,-1.3165284674513222,-55.62365021444807,-41.30222749518198
LIT,LIT,16484270.9623,1255,25,-149.93451942324214,-14.99345194232421,0.7516539044558859,48.0,-5.997380776929686,-32.15762338758596,-46.065715578441406
TURBO,TURBO,130791.479024,5001,110,-151.44223748696413,-15.144223748696417,0.9339009268188981,40.0,-1.3767476135178558,-44.86430372502097,-36.871602650057156
IMX,IMX,364407.5187590002,5001,75,-154.536920573982,-15.453692057398182,0.8815164932412252,32.0,-2.0604922743197602,-34.517818012504634,-35.103295544877184
ZORA,ZORA,460475.855253,5001,112,-159.8737987466742,-15.98737987466745,0.9171271418339136,50.89285714285714,-1.427444631666734,-60.37647141297373,-45.29488972930436
NXPC,NXPC,156891.16314,5001,99,-161.41048197319938,-16.141048197320007,0.8819175013446928,33.33333333333333,-1.6304089088201958,-30.310453658577906,-31.377590645517028
DYDX,DYDX,281860.600946,5001,89,-163.79704781650602,-16.379704781650627,0.8771769332434964,35.95505617977528,-1.8404162676011913,-41.85926451964951,-38.29208460350443
MERL,MERL,418968.1021610003,5001,112,-165.74561791955216,-16.57456179195519,0.9177806132298834,39.285714285714285,-1.47987158856743,-59.302522454387876,-45.312750009832
AVAX,AVAX,4001961.0355169987,5000,104,-180.3745291302953,-18.03745291302955,0.8869535364895431,41.34615384615385,-1.7343704724066855,-43.681820332649565,-39.52808793152643
PEOPLE,PEOPLE,148060.641277,5001,89,-197.71104932907647,-19.77110493290769,0.8559369279013025,37.07865168539326,-2.221472464371646,-48.83488277549992,-45.374770702015354
AIXBT,AIXBT,325797.5841029999,5001,96,-202.36044755624755,-20.236044755624818,0.9133374111057465,45.83333333333333,-2.107921328710912,-58.16599465324186,-49.736324019706
SAND,SAND,690735.3828050002,5001,85,-202.59439684695164,-20.259439684695135,0.863857294663637,40.0,-2.383463492317078,-33.43682332850179,-38.69285929400276
ENS,ENS,470317.8021040001,5001,98,-215.69920917774377,-21.569920917774333,0.8851158225762658,39.795918367346935,-2.2010123385484057,-41.8603441253184,-42.71908256353895
DASH,DASH,666657.3507899999,1618,25,-219.08140751307866,-21.90814075130787,0.5631426493196725,44.0,-8.763256300523146,-24.13041813258998,-55.88149056891072
XLM,XLM,1405623.5832999996,5001,73,-227.00252024166235,-22.70025202416629,0.7834235572307512,35.61643835616438,-3.109623564954279,-31.435988094343802,-42.28662943266891
MAVIA,MAVIA,152628.4958869999,5000,111,-231.18428635068818,-23.118428635068756,0.8942015701607039,37.83783783783784,-2.0827413184746684,-48.86124300919331,-46.373662892805754
